ParName   Value   Gradient
theta[3]      6.58421    0.0355966
M_pars_est[1]     0.270894   -0.0199089
M_pars_est[2]   -0.0972448   0.00648677
M_pars_est[3]     0.663258 -1.96325e-07
S_pars_est[1]      4.81102  -0.00273443
S_pars_est[2]      1.93983   0.00100104
S_pars_est[3]      4.65186  0.000299515
S_pars_est[4]        1.837 -1.39175e-05
S_pars_est[5]      4.99097 -1.12743e-05
S_pars_est[6]       2.2657 -3.23032e-05
S_pars_est[7]      4.68754   0.00248548
S_pars_est[8]      3.17841 -0.000928785
S_pars_est[9]      4.91626 -1.94627e-06
S_pars_est[10]      3.91202 -3.22298e-07
S_pars_est[11]      4.78604  2.11208e-06
S_pars_est[12]      1.93656 -8.68124e-07
S_pars_est[13]      4.92988  2.46387e-06
S_pars_est[14]      2.46365  1.17416e-06
S_pars_est[15]      4.90245 -1.78597e-06
S_pars_est[16]      1.88336  1.13708e-06
S_pars_est[17]      4.81214 -1.98232e-07
S_pars_est[18]      3.02927  -4.5365e-06
S_pars_est[19]      4.66904  8.38692e-07
S_pars_est[20]      3.37709 -8.37186e-08
S_pars_est[21]      4.93375  -0.00961133
S_pars_est[22]      1.38434  0.000335667
log_fbar[1]      -1.7668    0.0147623
log_fbar[2]     -4.14747  -0.00106457
log_fbar[3]     -4.71056 -0.000290615
log_fbar[4]     -4.68173  -0.00661647
log_fdev[1](1)      -2.0015 -7.64485e-06
log_fdev[1](2)     -1.75494 -3.32611e-06
log_fdev[1](3)    0.0284353  1.02681e-05
log_fdev[1](4)     0.444838  8.58168e-06
log_fdev[1](5)      1.08616  4.68747e-06
log_fdev[1](6)       1.2616  4.76218e-06
log_fdev[1](7)      1.21488  8.68353e-06
log_fdev[1](8)      1.05839  4.10486e-06
log_fdev[1](9)      0.78204  1.25595e-05
log_fdev[1](10)     0.972106  7.23453e-06
log_fdev[1](11)      1.20418  7.52854e-06
log_fdev[1](12)      2.04045  3.68838e-07
log_fdev[1](13)      3.16094 -1.34435e-05
log_fdev[1](14)      3.11172 -1.08084e-06
log_fdev[1](15)      3.09073 -5.67723e-05
log_fdev[1](16)      2.51932   4.9944e-06
log_fdev[1](17)     0.661126 -0.000113612
log_fdev[1](18)    -0.614196 -1.06247e-06
log_fdev[1](19)      -2.1713   0.00016382
log_fdev[1](20)     -1.09289   0.00017817
log_fdev[1](21)     -1.31101  0.000626851
log_fdev[1](22)    -0.407163  0.000407343
log_fdev[1](23)     0.705131  0.000170835
log_fdev[1](24)      1.30281 -3.18625e-05
log_fdev[1](25)       1.1507 -8.21029e-05
log_fdev[1](26)      1.33096  -0.00056587
log_fdev[1](27)      0.70294 -0.000499883
log_fdev[1](28)    0.0406889  0.000204735
log_fdev[1](29)    -0.399341  0.000192343
log_fdev[1](30)     -1.04474   0.00982461
log_fdev[1](31)     -2.23491  -0.00270435
log_fdev[1](32)     -1.59108    -0.001232
log_fdev[1](33)      -1.7238 -0.000583933
log_fdev[1](34)     -1.90908  0.000231785
log_fdev[1](35)     -2.34607  0.000706902
log_fdev[1](36)     -1.23194   0.00199622
log_fdev[1](37)     0.270998   0.00101617
log_fdev[1](38)     0.671186 -0.000171082
log_fdev[1](39)     -1.10879  0.000468853
log_fdev[1](40)    -0.920249  0.000811974
log_fdev[1](41)      -1.1239   0.00164213
log_fdev[1](42)     -1.40056   0.00198469
log_fdev[1](43)     -1.08332   0.00238721
log_fdev[1](44)     -1.34155   0.00227614
log_fdev[2](1)    -0.347333  7.36654e-07
log_fdev[2](2)    -0.079175  1.08446e-06
log_fdev[2](3)     0.430971 -5.63029e-07
log_fdev[2](4)     0.509847 -7.66847e-06
log_fdev[2](5)    0.0448685 -6.88455e-06
log_fdev[2](6)    -0.433367  -4.0546e-06
log_fdev[2](7)     0.273563 -5.70713e-06
log_fdev[2](8)     0.619227 -1.26382e-05
log_fdev[2](9)     0.728852 -2.00366e-05
log_fdev[2](10)     0.892233 -2.95557e-05
log_fdev[2](11)      0.77412 -2.47884e-05
log_fdev[2](12)      1.05128 -3.74057e-05
log_fdev[2](13)       1.0578 -2.92538e-05
log_fdev[2](14)      1.25678 -4.82723e-05
log_fdev[2](15)     0.262052 -3.22384e-05
log_fdev[2](16)     0.624658 -7.53822e-05
log_fdev[2](17)    0.0813534 -5.75272e-05
log_fdev[2](18)  -0.00166826 -0.000157597
log_fdev[2](19)     0.775055 -0.000370365
log_fdev[2](20)     0.903729 -2.38221e-06
log_fdev[2](21)    0.0136114 -5.76978e-07
log_fdev[2](22)     -1.48754  1.12294e-06
log_fdev[2](23)    -0.774741   1.1921e-06
log_fdev[2](24)    -0.309966  1.22714e-06
log_fdev[2](25)     -1.46114  6.18138e-06
log_fdev[2](26)     -2.45587  1.16315e-05
log_fdev[2](27)     -1.79291  2.90277e-05
log_fdev[2](28)    -0.179271  0.000161492
log_fdev[2](29)   -0.0195117  9.51944e-05
log_fdev[2](30)    0.0378315  2.15245e-05
log_fdev[2](31)    -0.512614  -5.2437e-06
log_fdev[2](32)    -0.168436 -2.38918e-05
log_fdev[2](33)    -0.114222 -2.57268e-05
log_fdev[2](34)     0.376427 -4.42651e-05
log_fdev[2](35)     0.127208 -3.71899e-05
log_fdev[2](36)     0.163522 -6.66296e-05
log_fdev[2](37)      1.02704 -0.000161454
log_fdev[2](38)     0.829818 -0.000108348
log_fdev[2](39)     0.634288 -9.56548e-05
log_fdev[2](40)    0.0144815 -2.31253e-05
log_fdev[2](41)   0.00919206 -2.78961e-05
log_fdev[2](42)     0.294694 -5.70757e-05
log_fdev[2](43)     -1.55249 -2.63906e-05
log_fdev[2](44)     -2.12425 -2.95149e-05
log_fdev[3](1)      -1.1111  1.92077e-07
log_fdev[3](2)     -1.63415  -7.1145e-08
log_fdev[3](3)     -1.17671  5.95239e-08
log_fdev[3](4)     -0.81049 -5.16368e-08
log_fdev[3](5)     -1.33447  3.90021e-08
log_fdev[3](6)     -1.18056  9.19916e-08
log_fdev[3](7)     -1.39411  1.93051e-08
log_fdev[3](8)     -1.23479  1.19981e-07
log_fdev[3](9)    -0.294414  1.73435e-07
log_fdev[3](10)      0.19856  1.77279e-07
log_fdev[3](11)      0.55579  8.58305e-08
log_fdev[3](12)     0.550564  2.05774e-07
log_fdev[3](13)     0.229941  2.82036e-07
log_fdev[3](14)     0.238961 -1.21856e-07
log_fdev[3](15)     0.280346 -1.86007e-08
log_fdev[3](16)     0.568026 -4.90591e-08
log_fdev[3](17)     0.520442 -1.07152e-07
log_fdev[3](18)     0.481415  8.79768e-08
log_fdev[3](19)     0.217251 -3.93799e-07
log_fdev[3](20)     0.680439  1.74374e-07
log_fdev[3](21)     0.613506 -9.57475e-08
log_fdev[3](22)      0.69788  9.66334e-08
log_fdev[3](23)     0.666302 -1.72347e-07
log_fdev[3](24)      1.08378  1.55227e-07
log_fdev[3](25)      1.40306  1.94965e-07
log_fdev[3](26)      1.30626  4.68937e-07
log_fdev[3](27)      1.06993  8.36851e-07
log_fdev[3](28)      1.61272  6.38736e-07
log_fdev[3](29)      1.56482 -4.66286e-06
log_fdev[3](30)     0.319524 -3.25432e-06
log_fdev[3](31)    0.0688474 -2.64332e-06
log_fdev[3](32)    -0.155556  -2.1129e-06
log_fdev[3](33)     0.521124 -5.98718e-06
log_fdev[3](34)     0.729128 -7.91632e-06
log_fdev[3](35)      0.34493 -4.35287e-06
log_fdev[3](36)     0.653115 -5.19009e-06
log_fdev[3](37)       2.4326 -1.96934e-05
log_fdev[3](38)      1.95319 -1.65652e-05
log_fdev[3](39)      1.67674 -2.12399e-05
log_fdev[3](40)      2.60842 -9.60225e-05
log_fdev[3](41)     0.807635 -0.000152533
log_fdev[3](42)     0.469201 -6.40626e-07
log_fdev[3](43)     0.248753 -2.02137e-07
log_fdev[3](44)    -0.118312  9.62758e-08
log_fdev[3](45)    -0.293886  9.36298e-07
log_fdev[3](46)    -0.779195  2.15984e-06
log_fdev[3](47)    -0.557654  3.40006e-06
log_fdev[3](48)    -0.782739  6.19636e-06
log_fdev[3](49)      -1.0454  1.32282e-05
log_fdev[3](50)     -1.34958  2.63344e-05
log_fdev[3](51)     -1.64032  1.30719e-05
log_fdev[3](52)      -1.2892  6.78134e-06
log_fdev[3](53)    0.0262295 -9.67701e-07
log_fdev[3](54)    -0.391141  -3.6883e-06
log_fdev[3](55)      -1.7906  8.15025e-07
log_fdev[3](56)     -1.71211  1.67941e-06
log_fdev[3](57)     -1.38928  2.95555e-06
log_fdev[3](58)    -0.407516 -1.88119e-06
log_fdev[3](59)     0.307479 -1.00574e-05
log_fdev[3](60)  -0.00263978 -6.28885e-06
log_fdev[3](61)   -0.0288353 -8.54064e-06
log_fdev[3](62)     0.150453 -1.85326e-05
log_fdev[3](63)    -0.510787 -6.67488e-06
log_fdev[3](64)     -1.23809  -6.0111e-06
log_fdev[3](65)    -0.919597 -2.85219e-05
log_fdev[3](66)     -1.28415  -4.6331e-06
log_fdev[4](1)      2.14732 -5.87862e-06
log_fdev[4](2)      2.48037 -9.29407e-06
log_fdev[4](3)      1.73179 -2.25132e-06
log_fdev[4](4)      1.18281 -8.00834e-07
log_fdev[4](5)      0.91717 -1.44652e-06
log_fdev[4](6)     0.695346  -8.4331e-06
log_fdev[4](7)      1.36865 -2.34355e-05
log_fdev[4](8)     0.918133  3.16856e-05
log_fdev[4](9)     0.456705  0.000244486
log_fdev[4](10)    -0.702798  2.17064e-05
log_fdev[4](11)    -0.239837  5.34646e-05
log_fdev[4](12)    -0.152868  -7.5404e-06
log_fdev[4](13)    -0.529435  2.91845e-05
log_fdev[4](14)    -0.133773 -9.71841e-05
log_fdev[4](15)    -0.321756 -7.88843e-06
log_fdev[4](16)    -0.810424 -3.28669e-05
log_fdev[4](17)    -0.568058 -7.83671e-05
log_fdev[4](18)    -0.253454 -0.000189177
log_fdev[4](19)     0.713311  -0.00012427
log_fdev[4](20)     0.926265 -0.000502237
log_fdev[4](21)     0.673561 -0.000319854
log_fdev[4](22)      1.04884  -0.00196332
log_fdev[4](23)     0.932158   -0.0125066
log_fdev[4](24)      1.17329 -0.000937841
log_fdev[4](25)      0.98739 -4.01641e-06
log_fdev[4](26)     0.811913 -1.15182e-06
log_fdev[4](27)     0.448209  8.03531e-06
log_fdev[4](28)     0.555538  2.06539e-05
log_fdev[4](29)      0.91255   6.5258e-05
log_fdev[4](30)      0.34487  0.000149213
log_fdev[4](31)     -0.28465  0.000712628
log_fdev[4](32)   -0.0136374   0.00646734
log_fdev[4](33)    -0.231175   0.00258877
log_fdev[4](34)    -0.210665   0.00108979
log_fdev[4](35)    -0.317849   0.00120818
log_fdev[4](36)    -0.593753   0.00014439
log_fdev[4](37)    -0.875911  8.78348e-06
log_fdev[4](38)     -1.21241 -3.66449e-05
log_fdev[4](39)     -1.23024  2.26553e-05
log_fdev[4](40)     -1.48708 -8.15197e-05
log_fdev[4](41)    -0.818835 -4.81689e-05
log_fdev[4](42)    -0.660075 -4.43137e-05
log_fdev[4](43)    -0.728212  0.000377086
log_fdev[4](44)    -0.709496 -0.000293991
log_fdev[4](45)     -1.12224  0.000200823
log_fdev[4](46)    -0.875047  0.000110817
log_fdev[4](47)    -0.941182 -0.000442159
log_fdev[4](48)     -1.09399 -0.000942932
log_fdev[4](49)    -0.995166 -0.000819472
log_fdev[4](50)     -1.45515  -0.00177937
log_fdev[4](51)     -1.85701 -0.000651069
log_foff[1]     -7.36525  4.74029e-08
log_foff[2]     -2.14236  5.87391e-09
log_foff[3]    -0.500001  1.48246e-08
log_foff[4]     -6.47104 -3.43321e-07
log_fdov[1](1)            0            0
log_fdov[2](1)            0            0
log_fdov[3](1)            0            0
log_fdov[4](1)            0            0
rec_dev_est(1974)      -1.1286   0.00017713
rec_dev_est(1975)     0.438886  0.000532406
rec_dev_est(1976)    -0.795155  0.000616213
rec_dev_est(1977)     -1.52508 -3.35183e-05
rec_dev_est(1978)     -2.04411 -7.46006e-05
rec_dev_est(1979)     -2.12759  0.000111782
rec_dev_est(1980)     -1.42117  0.000318318
rec_dev_est(1981)    -0.980279  0.000317295
rec_dev_est(1982)    0.0756562  0.000893943
rec_dev_est(1983)    -0.302565  0.000786689
rec_dev_est(1984)     -0.19315   0.00136647
rec_dev_est(1985)    -0.017762   0.00113301
rec_dev_est(1986)    -0.276702   0.00288573
rec_dev_est(1987)    -0.840732   0.00281447
rec_dev_est(1988)     -1.51603    0.0021838
rec_dev_est(1989)     -2.43816   0.00654401
rec_dev_est(1990)     -2.41548   0.00242064
rec_dev_est(1991)     -2.31166   0.00267361
rec_dev_est(1992)     -2.23338  0.000199579
rec_dev_est(1993)     -1.99863  0.000145283
rec_dev_est(1994)      -1.5198  0.000318468
rec_dev_est(1995)     -1.85328  0.000231152
rec_dev_est(1996)     -1.05815   0.00092618
rec_dev_est(1997)     -1.85291 -0.000117537
rec_dev_est(1998)    -0.501887  0.000453171
rec_dev_est(1999)     -1.45443  -0.00498506
rec_dev_est(2000)    -0.211327  0.000757904
rec_dev_est(2001)     -1.26072  -0.00184693
rec_dev_est(2002)    -0.171082   0.00177943
rec_dev_est(2003)    -0.989237   0.00043298
rec_dev_est(2004)     -2.00549  0.000473089
rec_dev_est(2005)     -2.07927   0.00044487
rec_dev_est(2006)     -1.80387  0.000178142
rec_dev_est(2007)    -0.995129    0.0039538
rec_dev_est(2008)   -0.0113213   0.00172724
rec_dev_est(2009)     -1.15583   0.00428442
rec_dev_est(2010)     -1.94311  0.000922322
rec_dev_est(2011)     -2.97203 -0.000146918
rec_dev_est(2012)     -2.12589  0.000345812
rec_dev_est(2013)     -2.69074  0.000332686
rec_dev_est(2014)     -2.66755  0.000531807
rec_dev_est(2015)     -1.94243   0.00161253
rec_dev_est(2016)     -0.38084   0.00314405
rec_dev_est(2017)     -1.07968   0.00122464
rec_dev_est(2018)    -0.713664  0.000653864
rec_dev_est(2019)     -1.95972  6.46643e-05
rec_dev_est(2020)    0.0668635  7.58427e-06
rec_dev_est(2021)      0.49246  1.00991e-06
rec_dev_est(2022)     0.324247 -6.32675e-07
rec_dev_est(2023)    -0.922045  3.64922e-08
survey_q[1]     0.981179  9.19304e-08
survey_q[2]     0.757647   4.9331e-07
