##--attempt to match TCSAM02 2024 assessment model 24_22_03d5
#========================================================================================================
#  Gmacs Main Data File Version 1.1: TANNER CRAB 2025_01
#  GEAR_INDEX	DESCRIPTION
#  1  :  TCF - Directed fishery                 (retained & 2-sex total catch, zcs)
#  2  :  SCF - snow crab fishery                (2-sex total catch, zcs)
#  3  :  RKF - BBRKC fishery                    (2-sex total catch, zcs)
#  4  :  GFA - Groundfish fisheries, all gear   (combined-sex total catch, 2-sex zcs)
#  5  :  NNMFS_1975 - NMFS EBS bottom trawl survey, 1975-81
#  6  :  NNMFS_1982 - NMFS EBS bottom trawl survey, 1982+
#  7  :  BSFRF - BSFRF SBS bottom trawl survey (all years)
#========================================================================================================
1948	# Start	year
2023	# End	year
 3	# Number of seasons
 6	# Number of fleets (fishing fleets and surveys)
 2	# Number of sexes	 (both sexes)
 1	# Number of shell condition types
 2	# Number of maturity types
32	# Number of size-classes in the	model
 3   # Season recruitment occurs           (?beginning or end of season?)
 3   # Season molting and growth occurs    (?beginning or end of season?)
 3   # Season to calculate SSB             (?beginning or end of season?)
 1   # Season for N output                 (?beginning or end of season?)
# maximum size-class (males then females)
32  #-- males 
28  #--females 
#	size_breaks (a vector giving the break points between size intervals, dim=nclass+1)
24.5    29.5    34.5    39.5    44.5    49.5    54.5    59.5    64.5    69.5    74.5    79.5    84.5    89.5    94.5    99.5    104.5    109.5    114.5    119.5    124.5    129.5    134.5    139.5    144.5    149.5    154.5    159.5    164.5    169.5    174.5    179.5    184.5 
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)														
1	# OK																											
#	Proportion of the total	natural	mortality to be	applied	each season
##     Season
0.62 #--Season 1  Summer/Fall/Winter: 0.000-0.62
0.01 #--Season 2  Fisheries:          0.62-0.63 
0.37 #--Season 3  Winter/Spring:      0.63-1.000

# Fishing fleet	names (delimited with spaces; no spaces in names)
TCF #--directed Tanner crab fishery
SCF #--bycatch in snow crab fishery
RKF #--bycatch in BBRKC fishery
GFA #--bycatch in groundfish undetermined gear fisheries
# Survey names (delimited with spaces; no spaces in names)
NMFS  #--NMFS survey, indices for undetermined males, immature females, mature females
BSFRF #--BSFRF survey, indices for undetermined males, immature females, mature females
# Are the seasons instantaneous (0) or continuous (1)   <-really should move this before names
1 1 1  
##------------------------------------------------------------
##--CATCH DATA------------------------------------------------
##------------------------------------------------------------
1 #--input format for catch data (0:old format; 1: new format)
5 #--number of catch dataframes
#------------------
#--1 fleet: TCF; gear: pot; catch_type: RETAINED; units: THOUSANDS_MT.
BIOMASS        #--units type (1,000's mt)
RETAINED       #--catch type
TCF            #--fleet
male           #--sex (male(s), female(s), undetermined)
undetermined   #--maturity (immature, mature, undetermined)
undetermined   #--shell condition (new shell, old shell, undetermined)
44        #--number of rows in dataframe
#year  season  value  cv  multiplier  effort  discard_mortality
1965  2  1.923231649  0.1  1  0  0.321
1966  2  2.444862874  0.1  1  0  0.321
1967  2  13.59869925  0.1  1  0  0.321
1968  2  18.00308117  0.1  1  0  0.321
1969  2  27.48769762  0.1  1  0  0.321
1970  2  25.4918912  0.1  1  0  0.321
1971  2  20.71102762  0.1  1  0  0.321
1972  2  16.90538763  0.1  1  0  0.321
1973  2  13.02717287  0.1  1  0  0.321
1974  2  15.24070363  0.1  1  0  0.321
1975  2  17.65381504  0.1  1  0  0.321
1976  2  30.01420712  0.1  1  0  0.321
1977  2  35.52535442  0.1  1  0  0.321
1978  2  21.09204521  0.1  1  0  0.321
1979  2  19.0055203  0.1  1  0  0.321
1980  2  13.42633415  0.025  1  0  0.321
1981  2  4.98951607  0.025  1  0  0.321
1982  2  2.39043179  0.025  1  0  0.321
1983  2  0.548846768  0.025  1  0  0.321
1984  2  1.428815966  0.025  1  0  0.321
1987  2  0.997903214  0.025  1  0  0.321
1988  2  3.179682514  0.025  1  0  0.321
1989  2  11.11301307  0.025  1  0  0.321
1990  2  18.18905404  0.025  1  494299  0.321
1991  2  14.42423737  0.025  1  500914  0.321
1992  2  15.92109219  0.025  1  675592  0.321
1993  2  7.665711053  0.025  1  326720  0.321
1994  2  3.538020486  0.025  1  249536  0.321
1995  2  1.918695725  0.025  1  248442  0.321
1996  2  0.82100219  0.01  1  73522  0.321
2005  2  0.432223  0.01  1  6346  0.321
2006  2  0.962792  0.01  1  19790  0.321
2007  2  0.955563  0.01  1  33709  0.321
2008  2  0.879781  0.01  1  21737  0.321
2009  2  0.602533  0.01  1  6635  0.321
2013  2  1.264092  0.01  1  39675  0.321
2014  2  6.216231  0.01  1  141463  0.321
2015  2  8.909644  0.01  1  215235  0.321
2017  2  1.132637  0.01  1  19295  0.321
2018  2  1.107324  0.01  1  29833  0.321
2020  2  0.657503  0.01  1  34914  0.321
2021  2  0.494283  0.01  1  19252  0.321
2022  2  0.913308  0.01  1  37564  0.321
2023  2  0.940345064  0.01  1  29197  0.321 #--updated
#------------------
#--2 fleet: TCF; gear: all; catch_type: TOTAL; units: THOUSANDS_MT.
BIOMASS        #--units type
TOTAL          #--catch type
TCF            #--fleet
undetermined   #--sex (male(s), female(s), undetermined)
undetermined   #--maturity (immature, mature, undetermined)
undetermined   #--shell condition (new shell, old shell, undetermined)
20        #--number of rows in dataframe
#year  season  value  cv  multiplier  effort  discard_mortality
1991  2  27.70339803  0.2  1  500914  0.321
1992  2  38.71100213  0.2  1  675592  0.321
1993  2  12.8501462  0.2  1  326720  0.321
1994  2  8.157066803  0.2  1  249536  0.321
1995  2  6.130446938  0.2  1  248442  0.321
1996  2  0.357109009  0.2  1  73522  0.321
2005  2  0.708337914  0.2  1  6346  0.321
2006  2  1.832493081  0.2  1  19790  0.321
2007  2  2.503089207  0.2  1  33709  0.321
