ParName   Value   Gradient
theta[3]      6.75505  -0.00517884
M_pars_est[1]     0.259724   0.00224677
M_pars_est[2]            1  3.93913e-06
M_pars_est[3]  -0.00277882 -0.000846288
M_pars_est[4]     0.683007  5.75491e-07
M_pars_est[5]      0.54858  -2.2756e-08
S_pars_est[1]      4.81463  8.46812e-05
S_pars_est[2]      1.93214  4.84119e-05
S_pars_est[3]       4.6523 -1.78262e-05
S_pars_est[4]      1.83965  1.72479e-06
S_pars_est[5]      4.99132 -1.56949e-05
S_pars_est[6]      2.26448 -2.04808e-06
S_pars_est[7]      4.60342  4.54009e-05
S_pars_est[8]      3.03522  1.09879e-05
S_pars_est[9]      4.94524  2.06267e-06
S_pars_est[10]      3.42882  5.42905e-08
S_pars_est[11]      4.86921  2.17736e-06
S_pars_est[12]      3.91202  4.50685e-06
S_pars_est[13]      4.78643  1.99728e-06
S_pars_est[14]      1.93388  7.47838e-07
S_pars_est[15]      4.92793 -1.23204e-06
S_pars_est[16]      2.45995  1.43327e-06
S_pars_est[17]      4.89979 -3.58501e-07
S_pars_est[18]      1.87593  5.54054e-07
S_pars_est[19]      4.77269  7.34353e-06
S_pars_est[20]      2.96986 -1.06206e-05
S_pars_est[21]      4.52594  3.31966e-07
S_pars_est[22]      2.60107  7.69739e-07
S_pars_est[23]      4.73144 -3.82257e-06
S_pars_est[24]      3.49379 -2.01027e-06
S_pars_est[25]      4.93207   0.00136043
S_pars_est[26]       1.3907  0.000117787
log_fbar[1]     -1.96457 -0.000566127
log_fbar[2]     -4.17396  0.000151639
log_fbar[3]     -4.72345   9.2714e-05
log_fbar[4]      -4.8458  0.000235548
log_fdev[1](1)     -1.94781 -2.01133e-05
log_fdev[1](2)     -1.70469 -1.75233e-05
log_fdev[1](3)    0.0668904  8.51397e-06
log_fdev[1](4)     0.460942  3.98191e-05
log_fdev[1](5)      1.06187  7.22536e-05
log_fdev[1](6)      1.18449   1.0148e-05
log_fdev[1](7)      1.10116 -0.000105152
log_fdev[1](8)     0.936275 -7.50356e-05
log_fdev[1](9)     0.668575  0.000323931
log_fdev[1](10)     0.853248  4.51532e-05
log_fdev[1](11)      1.06294 -0.000582022
log_fdev[1](12)      1.78935  1.49019e-05
log_fdev[1](13)      2.37314  7.01026e-05
log_fdev[1](14)      1.98673 -3.40739e-05
log_fdev[1](15)      1.78661  1.41015e-05
log_fdev[1](16)      1.75133 -2.92072e-05
log_fdev[1](17)     0.372023 -0.000184725
log_fdev[1](18)    -0.633348 -8.50245e-06
log_fdev[1](19)     -1.92963  0.000203564
log_fdev[1](20)    -0.523266 -0.000264716
log_fdev[1](21)     -1.16308 -0.000595353
log_fdev[1](22)    -0.237585 -0.000343874
log_fdev[1](23)     0.908801  1.70638e-05
log_fdev[1](24)      1.53253  0.000128319
log_fdev[1](25)      1.38661  0.000488758
log_fdev[1](26)      1.55846  0.000550257
log_fdev[1](27)      0.91543 -0.000205108
log_fdev[1](28)     0.239697  -0.00058875
log_fdev[1](29)    -0.210835 -0.000290476
log_fdev[1](30)    -0.866328  -0.00179731
log_fdev[1](31)     -2.06492  -0.00244758
log_fdev[1](32)     -1.42288 -0.000311528
log_fdev[1](33)     -1.55588   0.00260337
log_fdev[1](34)     -1.74105   0.00290961
log_fdev[1](35)     -2.17765  0.000751147
log_fdev[1](36)     -1.07362   0.00303003
log_fdev[1](37)     0.435467   0.00287176
log_fdev[1](38)      0.83942   0.00167936
