index, phase, min_index, max_index, parameter_scale, min_arith, max_arith, value_arith, min_param, max_param, value_param, name, type, category, process, label
1, 1, 1, 1, ARITHMETIC, 0, 10, 6.96043590017, 0, 10, 6.96043590017, pLnR[1], "param_init_bounded_number","population processes","recruitment","historical_recruitment_period"
1, 1, 1, 1, ARITHMETIC, 0, 10, 6.0161693231, 0, 10, 6.0161693231, pLnR[2], "param_init_bounded_number","population processes","recruitment","current_recruitment_period"
1, -5, 1, 1, LOG, 0.135335283, 7.389056099, 0.496585303791, -2.00000000175, 2.00000000001, -0.700000000001, pRCV[1], "param_init_bounded_number","population processes","recruitment","full_model_period"
1, -1, 1, 1, LOGIT, 0.268941421, 0.731058579, 0.5, -25, 25, -1.11022302463e-16, pRX[1], "param_init_bounded_number","population processes","recruitment","full_model_period"
1, 5, 1, 1, LOG, 2.718281828, 54.59815003, 9.03012993708, 0.999999999831, 3.99999999994, 2.20056675681, pRa[1], "param_init_bounded_number","population processes","recruitment","fixed_value"
1, 5, 1, 1, LOG, 1, 54.59815003, 3.89773998, 0, 3.99999999994, 1.36039689286, pRb[1], "param_init_bounded_number","population processes","recruitment","fixed_value"
1, 1, 1, 26, ARITHMETIC, -5, 5, -0.490179615656, -5, 5, -0.490179615656, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
2, 1, 1, 26, ARITHMETIC, -5, 5, -0.489511497153, -5, 5, -0.489511497153, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
3, 1, 1, 26, ARITHMETIC, -5, 5, -0.487947313622, -5, 5, -0.487947313622, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
4, 1, 1, 26, ARITHMETIC, -5, 5, -0.485176912446, -5, 5, -0.485176912446, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
5, 1, 1, 26, ARITHMETIC, -5, 5, -0.480785205609, -5, 5, -0.480785205609, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
6, 1, 1, 26, ARITHMETIC, -5, 5, -0.474217797234, -5, 5, -0.474217797234, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
7, 1, 1, 26, ARITHMETIC, -5, 5, -0.46472948775, -5, 5, -0.46472948775, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
8, 1, 1, 26, ARITHMETIC, -5, 5, -0.451327121637, -5, 5, -0.451327121637, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
9, 1, 1, 26, ARITHMETIC, -5, 5, -0.432704610539, -5, 5, -0.432704610539, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
10, 1, 1, 26, ARITHMETIC, -5, 5, -0.407165180484, -5, 5, -0.407165180484, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
11, 1, 1, 26, ARITHMETIC, -5, 5, -0.372518605142, -5, 5, -0.372518605142, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
12, 1, 1, 26, ARITHMETIC, -5, 5, -0.325811799155, -5, 5, -0.325811799155, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
13, 1, 1, 26, ARITHMETIC, -5, 5, -0.262518696221, -5, 5, -0.262518696221, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
14, 1, 1, 26, ARITHMETIC, -5, 5, -0.175295820094, -5, 5, -0.175295820094, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
15, 1, 1, 26, ARITHMETIC, -5, 5, -0.051863352437, -5, 5, -0.051863352437, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
16, 1, 1, 26, ARITHMETIC, -5, 5, 0.129697086024, -5, 5, 0.129697086024, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
17, 1, 1, 26, ARITHMETIC, -5, 5, 0.40903257714, -5, 5, 0.40903257714, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
18, 1, 1, 26, ARITHMETIC, -5, 5, 0.83393744699, -5, 5, 0.83393744699, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
19, 1, 1, 26, ARITHMETIC, -5, 5, 1.38001052733, -5, 5, 1.38001052733, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
20, 1, 1, 26, ARITHMETIC, -5, 5, 1.65368174474, -5, 5, 1.65368174474, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
21, 1, 1, 26, ARITHMETIC, -5, 5, 1.15729777113, -5, 5, 1.15729777113, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
22, 1, 1, 26, ARITHMETIC, -5, 5, 0.600010631071, -5, 5, 0.600010631071, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
23, 1, 1, 26, ARITHMETIC, -5, 5, 0.335774193526, -5, 5, 0.335774193526, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
24, 1, 1, 26, ARITHMETIC, -5, 5, -0.0924644745145, -5, 5, -0.0924644745145, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
25, 1, 1, 26, ARITHMETIC, -5, 5, -0.449578109156, -5, 5, -0.449578109156, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
26, 1, 1, 26, ARITHMETIC, -5, 5, -0.105646491866, -5, 5, -0.105646491866, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","historical_recruitment_period"
1, 1, 1, 50, ARITHMETIC, -5, 5, 1.3385512454, -5, 5, 1.3385512454, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
2, 1, 1, 50, ARITHMETIC, -5, 5, 1.9556533648, -5, 5, 1.9556533648, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
3, 1, 1, 50, ARITHMETIC, -5, 5, 1.57220519143, -5, 5, 1.57220519143, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
4, 1, 1, 50, ARITHMETIC, -5, 5, 0.563181472606, -5, 5, 0.563181472606, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
5, 1, 1, 50, ARITHMETIC, -5, 5, -0.155816564575, -5, 5, -0.155816564575, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
6, 1, 1, 50, ARITHMETIC, -5, 5, -0.206975323309, -5, 5, -0.206975323309, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
7, 1, 1, 50, ARITHMETIC, -5, 5, -0.0397302120622, -5, 5, -0.0397302120622, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
8, 1, 1, 50, ARITHMETIC, -5, 5, -0.192658960003, -5, 5, -0.192658960003, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
9, 1, 1, 50, ARITHMETIC, -5, 5, 1.04382119326, -5, 5, 1.04382119326, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
10, 1, 1, 50, ARITHMETIC, -5, 5, 0.740064994675, -5, 5, 0.740064994675, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
11, 1, 1, 50, ARITHMETIC, -5, 5, 0.881711895029, -5, 5, 0.881711895029, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
12, 1, 1, 50, ARITHMETIC, -5, 5, 0.918111269357, -5, 5, 0.918111269357, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
13, 1, 1, 50, ARITHMETIC, -5, 5, 0.750442537657, -5, 5, 0.750442537657, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
14, 1, 1, 50, ARITHMETIC, -5, 5, 0.331240549155, -5, 5, 0.331240549155, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
15, 1, 1, 50, ARITHMETIC, -5, 5, -0.40616482276, -5, 5, -0.40616482276, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
16, 1, 1, 50, ARITHMETIC, -5, 5, -1.11798287322, -5, 5, -1.11798287322, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
17, 1, 1, 50, ARITHMETIC, -5, 5, -1.40239365401, -5, 5, -1.40239365401, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
18, 1, 1, 50, ARITHMETIC, -5, 5, -1.31688298915, -5, 5, -1.31688298915, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
19, 1, 1, 50, ARITHMETIC, -5, 5, -1.31681401615, -5, 5, -1.31681401615, pDevsLnR, "param_init_bounded_dev_vector","population processes","recruitment","current_recruitment_period"
