case,category,fleet,catch.type,data.type,fit.type,nll.type,y,x,m,s,rmse,wgt,nll,objfun
,surveys data,NMFS M,index catch,abundance,BY_X,lognormal,all,male,all maturity states,all shell conditions,3.40695331042,0,187.506091713,0
,surveys data,NMFS M,index catch,abundance,BY_X,lognormal,all,female,all maturity states,all shell conditions,0,0,0,0
,surveys data,NMFS M,index catch,biomass,BY_X,lognormal,all,male,all maturity states,all shell conditions,2.75359373388,1,90.0584741738,90.0584741738
,surveys data,NMFS M,index catch,biomass,BY_X,lognormal,all,female,all maturity states,all shell conditions,0,1,0,0
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1975,male,all maturity states,all shell conditions,101.510173731,1,23.8886547367,23.8886547367
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1976,male,all maturity states,all shell conditions,187.433252098,1,10.4344542281,10.4344542281
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1977,male,all maturity states,all shell conditions,63.1909980547,1,26.1899335629,26.1899335629
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1978,male,all maturity states,all shell conditions,150.814364872,1,12.5481643969,12.5481643969
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1979,male,all maturity states,all shell conditions,149.509274883,1,10.537615569,10.537615569
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1980,male,all maturity states,all shell conditions,39.3074219152,1,31.0129991227,31.0129991227
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1981,male,all maturity states,all shell conditions,108.318510633,1,11.8715715313,11.8715715313
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1982,male,all maturity states,all shell conditions,85.8754695844,1,16.7688461637,16.7688461637
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1983,male,all maturity states,all shell conditions,191.196338125,1,8.52092129206,8.52092129206
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1984,male,all maturity states,all shell conditions,115.665613842,1,9.06658856108,9.06658856108
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1985,male,all maturity states,all shell conditions,58.7385121719,1,18.1732375311,18.1732375311
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1986,male,all maturity states,all shell conditions,104.774171427,1,12.9693601355,12.9693601355
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1987,male,all maturity states,all shell conditions,79.4231016679,1,13.2106238256,13.2106238256
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1988,male,all maturity states,all shell conditions,347.897263057,1,3.77426032352,3.77426032352
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1989,male,all maturity states,all shell conditions,156.579813732,1,7.94254617818,7.94254617818
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1990,male,all maturity states,all shell conditions,293.313883975,1,4.76303384622,4.76303384622
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1991,male,all maturity states,all shell conditions,223.325629026,1,7.16371774288,7.16371774288
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1992,male,all maturity states,all shell conditions,165.809881355,1,8.92354722357,8.92354722357
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1993,male,all maturity states,all shell conditions,184.302522632,1,7.7283180016,7.7283180016
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1994,male,all maturity states,all shell conditions,134.620379665,1,11.480709316,11.480709316
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1995,male,all maturity states,all shell conditions,139.36855868,1,9.612693407,9.612693407
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1996,male,all maturity states,all shell conditions,197.193645982,1,7.71096203244,7.71096203244
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1997,male,all maturity states,all shell conditions,258.197592659,1,3.80445534104,3.80445534104
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1998,male,all maturity states,all shell conditions,220.851781857,1,4.97388420732,4.97388420732
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,1999,male,all maturity states,all shell conditions,152.396375662,1,8.33432267355,8.33432267355
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2000,male,all maturity states,all shell conditions,207.192147942,1,4.24536555061,4.24536555061
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2001,male,all maturity states,all shell conditions,156.879363687,1,6.72940756865,6.72940756865
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2002,male,all maturity states,all shell conditions,96.2427179548,1,7.86993506838,7.86993506838
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2003,male,all maturity states,all shell conditions,115.491693582,1,8.8621762261,8.8621762261
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2004,male,all maturity states,all shell conditions,178.863772614,1,6.63793631412,6.63793631412
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2005,male,all maturity states,all shell conditions,214.419138433,1,6.37150232288,6.37150232288
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2006,male,all maturity states,all shell conditions,203.93231238,1,7.71133107238,7.71133107238
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2007,male,all maturity states,all shell conditions,221.76983401,1,10.8638741188,10.8638741188
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2008,male,all maturity states,all shell conditions,273.271876718,1,7.05225495106,7.05225495106
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2009,male,all maturity states,all shell conditions,92.9596119169,1,12.2534154149,12.2534154149
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2010,male,all maturity states,all shell conditions,224.375715592,1,4.5138009738,4.5138009738
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2011,male,all maturity states,all shell conditions,200.411857873,1,7.50961543776,7.50961543776
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2012,male,all maturity states,all shell conditions,225.549469639,1,8.8882324032,8.8882324032
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2013,male,all maturity states,all shell conditions,239.385288705,1,8.07615833577,8.07615833577
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2014,male,all maturity states,all shell conditions,286.154364183,1,9.14964444707,9.14964444707
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2015,male,all maturity states,all shell conditions,526.028515301,1,5.69171052696,5.69171052696
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2016,male,all maturity states,all shell conditions,395.42542074199997,1,7.21020560829,7.21020560829
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2017,male,all maturity states,all shell conditions,155.292948011,1,8.86754374008,8.86754374008
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2018,male,all maturity states,all shell conditions,174.803941743,1,5.77612762054,5.77612762054
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2019,male,all maturity states,all shell conditions,148.1337754,1,6.24192009425,6.24192009425
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2021,male,all maturity states,all shell conditions,270.436187218,1,5.98657713654,5.98657713654
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2022,male,all maturity states,all shell conditions,225.721598021,1,4.48522595019,4.48522595019
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2023,male,all maturity states,all shell conditions,317.275186001,1,4.45170090225,4.45170090225
,surveys data,NMFS M,index catch,n.at.z,BY_X,multinomial,2024,male,all maturity states,all shell conditions,139.055434215,1,10.2457450227,10.2457450227
,surveys data,NMFS F,index catch,abundance,BY_XM,lognormal,all,male,immature,all shell conditions,0,0,0,0
,surveys data,NMFS F,index catch,abundance,BY_XM,lognormal,all,male,mature,all shell conditions,0,0,0,0
,surveys data,NMFS F,index catch,abundance,BY_XM,lognormal,all,female,immature,all shell conditions,3.13317418442,0,161.967614578,0
,surveys data,NMFS F,index catch,abundance,BY_XM,lognormal,all,female,mature,all shell conditions,2.49142249258,0,76.3085652796,0
,surveys data,NMFS F,index catch,biomass,BY_XM,lognormal,all,male,immature,all shell conditions,0,1,0,0
,surveys data,NMFS F,index catch,biomass,BY_XM,lognormal,all,male,mature,all shell conditions,0,1,0,0
,surveys data,NMFS F,index catch,biomass,BY_XM,lognormal,all,female,immature,all shell conditions,2.84175866002,1,119.710103691,119.710103691
,surveys data,NMFS F,index catch,biomass,BY_XM,lognormal,all,female,mature,all shell conditions,2.32323106897,1,55.4136245748,55.4136245748
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1975,female,immature,all shell conditions,17.0158875583,1,7.72691569251,7.72691569251
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1975,female,mature,all shell conditions,34.3780701714,1,5.65236263373,5.65236263373
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1976,female,immature,all shell conditions,50.5440585277,1,2.8289196228,2.8289196228
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1976,female,mature,all shell conditions,42.602292613,1,4.52379296177,4.52379296177
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1977,female,immature,all shell conditions,28.0458846483,1,3.69844890581,3.69844890581
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1977,female,mature,all shell conditions,76.4250497598,1,4.74757031453,4.74757031453
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1978,female,immature,all shell conditions,26.0842061203,1,6.23363190647,6.23363190647
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1978,female,mature,all shell conditions,135.929315143,1,1.57739073248,1.57739073248
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1979,female,immature,all shell conditions,87.1652615557,1,1.56816114683,1.56816114683
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1979,female,mature,all shell conditions,71.1473910528,1,2.40667456242,2.40667456242
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1980,female,immature,all shell conditions,144.220018678,1,1.24859348262,1.24859348262
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1980,female,mature,all shell conditions,22.9726246443,1,4.68153884469,4.68153884469
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1981,female,immature,all shell conditions,35.1822753798,1,2.2253146641,2.2253146641
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1981,female,mature,all shell conditions,22.0066600454,1,10.6186564293,10.6186564293
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1982,female,immature,all shell conditions,47.832303251,1,4.00073482051,4.00073482051
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1982,female,mature,all shell conditions,20.3661830317,1,12.2515027844,12.2515027844
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1983,female,immature,all shell conditions,70.9513167699,1,3.40291122316,3.40291122316
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1983,female,mature,all shell conditions,80.8265769448,1,2.52947914433,2.52947914433
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1984,female,immature,all shell conditions,32.1897260566,1,4.77965799189,4.77965799189
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1984,female,mature,all shell conditions,237.853140326,1,1.36975978468,1.36975978468
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1985,female,immature,all shell conditions,145.824923477,1,2.76293533118,2.76293533118
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1985,female,mature,all shell conditions,153.149141852,1,3.79575051827,3.79575051827
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1986,female,immature,all shell conditions,107.698520548,1,4.18496461786,4.18496461786
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1986,female,mature,all shell conditions,15.4106710543,1,5.35405467824,5.35405467824
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1987,female,immature,all shell conditions,20.975501378,1,33.3090824839,33.3090824839
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1987,female,mature,all shell conditions,30.5233064406,1,3.0204461837,3.0204461837
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1988,female,immature,all shell conditions,165.301592484,1,3.30670752805,3.30670752805
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1988,female,mature,all shell conditions,17.8453511442,1,9.89074843913,9.89074843913
,surveys data,NMFS F,index catch,n.at.z,BY_XM,multinomial,1989,female,immature,all shell conditions,38.9250603938,1,4.68809694487,4.68809694487
