case,category,process,label,type,name,index,phase,min_index,max_index,parameter_scale,min_arith,max_arith,init_arith_value,final_arith_value,min_param,max_param,init_param_value,final_param_value,stdv
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_number,pLnR[1],1,1,1,1, ARITHMETIC,0,10,6.96043590017,7.0486601569,0,10,6.96043590017,7.0486601569,0.59282
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_number,pLnR[2],1,1,1,1, ARITHMETIC,0,10,6.0161693231,6.05698076892,0,10,6.0161693231,6.05698076892,0.065671
22_03d5p,population processes,recruitment,full model period, param_init_bounded_number,pRCV[1],1,-5,1,1, LOG,0.135335283,7.389056099,0.496585303791,0.496585303791,-2.00000000175,2.00000000001,-0.700000000001,-0.700000000001,NA
22_03d5p,population processes,recruitment,full model period, param_init_bounded_number,pRX[1],1,-1,1,1, LOGIT,0.268941421,0.731058579,0.5,0.5,-25,25,-1.11022302463e-16,-1.11022302463e-16,NA
22_03d5p,population processes,recruitment,fixed value, param_init_bounded_number,pRa[1],1,5,1,1, LOG,2.718281828,54.59815003,9.03012993705,9.19978972932,0.999999999831,3.99999999994,2.20056675681,2.21918062828,0.028592
22_03d5p,population processes,recruitment,fixed value, param_init_bounded_number,pRb[1],1,5,1,1, LOG,1,54.59815003,3.89773998001,3.97859163736,0,3.99999999994,1.36039689286,1.38092789671,0.073692
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,1,1,1,26, ARITHMETIC,-5,5,-0.490179615656,-0.471744820659,-5,5,-0.490179615656,-0.471744820659,1.7854
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,2,1,1,26, ARITHMETIC,-5,5,-0.489511497153,-0.471027184311,-5,5,-0.489511497153,-0.471027184311,1.6528
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,3,1,1,26, ARITHMETIC,-5,5,-0.487947313622,-0.469355288865,-5,5,-0.487947313622,-0.469355288865,1.5234
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,4,1,1,26, ARITHMETIC,-5,5,-0.485176912446,-0.466403708539,-5,5,-0.485176912446,-0.466403708539,1.3982
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,5,1,1,26, ARITHMETIC,-5,5,-0.480785205609,-0.46174414698,-5,5,-0.480785205609,-0.46174414698,1.2785
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,6,1,1,26, ARITHMETIC,-5,5,-0.474217797234,-0.454812254728,-5,5,-0.474217797234,-0.454812254728,1.166
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,7,1,1,26, ARITHMETIC,-5,5,-0.46472948775,-0.444859711268,-5,5,-0.46472948775,-0.444859711268,1.0631
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,8,1,1,26, ARITHMETIC,-5,5,-0.451327121637,-0.430910216729,-5,5,-0.451327121637,-0.430910216729,0.97257
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,9,1,1,26, ARITHMETIC,-5,5,-0.432704610539,-0.411710078116,-5,5,-0.432704610539,-0.411710078116,0.89778
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,10,1,1,26, ARITHMETIC,-5,5,-0.407165180484,-0.385696284653,-5,5,-0.407165180484,-0.385696284653,0.84239
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,11,1,1,26, ARITHMETIC,-5,5,-0.372518605142,-0.350973965325,-5,5,-0.372518605142,-0.350973965325,0.80979
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,12,1,1,26, ARITHMETIC,-5,5,-0.325811799155,-0.305098026679,-5,5,-0.325811799155,-0.305098026679,0.80224
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,13,1,1,26, ARITHMETIC,-5,5,-0.262518696221,-0.244256642613,-5,5,-0.262518696221,-0.244256642613,0.81958
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,14,1,1,26, ARITHMETIC,-5,5,-0.175295820094,-0.16214145466,-5,5,-0.175295820094,-0.16214145466,0.85729
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,15,1,1,26, ARITHMETIC,-5,5,-0.051863352437,-0.0480239853312,-5,5,-0.051863352437,-0.0480239853312,0.90406
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,16,1,1,26, ARITHMETIC,-5,5,0.129697086024,0.118071937212,-5,5,0.129697086024,0.118071937212,0.93839
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,17,1,1,26, ARITHMETIC,-5,5,0.40903257714,0.375458238966,-5,5,0.40903257714,0.375458238966,0.93163
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,18,1,1,26, ARITHMETIC,-5,5,0.83393744699,0.776404338311,-5,5,0.83393744699,0.776404338311,0.8711
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,19,1,1,26, ARITHMETIC,-5,5,1.38001052733,1.30609992719,-5,5,1.38001052733,1.30609992719,0.77801
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,20,1,1,26, ARITHMETIC,-5,5,1.65368174474,1.58315091544,-5,5,1.65368174474,1.58315091544,0.66869
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,21,1,1,26, ARITHMETIC,-5,5,1.15729777113,1.08573247535,-5,5,1.15729777113,1.08573247535,0.687
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,22,1,1,26, ARITHMETIC,-5,5,0.600010631071,0.524705148475,-5,5,0.600010631071,0.524705148475,0.68273
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,23,1,1,26, ARITHMETIC,-5,5,0.335774193526,0.252916411594,-5,5,0.335774193526,0.252916411594,0.6615
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,24,1,1,26, ARITHMETIC,-5,5,-0.0924644745145,-0.151816381514,-5,5,-0.0924644745145,-0.151816381514,0.66363
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,25,1,1,26, ARITHMETIC,-5,5,-0.449578109156,-0.38716491452,-5,5,-0.449578109156,-0.38716491452,0.66315
22_03d5p,population processes,recruitment,historical recruitment period, param_init_bounded_dev_vector,pDevsLnR,26,1,1,26, ARITHMETIC,-5,5,-0.105646491866,0.0951995905798,-5,5,-0.105646491866,0.0951995905798,0.66419
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,1,1,1,50, ARITHMETIC,-5,5,1.3385512454,1.06376983538,-5,5,1.3385512454,1.06376983538,0.41031
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,2,1,1,50, ARITHMETIC,-5,5,1.9556533648,2.08527752745,-5,5,1.9556533648,2.08527752745,0.17988
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,3,1,1,50, ARITHMETIC,-5,5,1.57220519143,1.56118036687,-5,5,1.57220519143,1.56118036687,0.21713
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,4,1,1,50, ARITHMETIC,-5,5,0.563181472606,0.59117578839,-5,5,0.563181472606,0.59117578839,0.34878
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,5,1,1,50, ARITHMETIC,-5,5,-0.155816564575,-0.0659961592801,-5,5,-0.155816564575,-0.0659961592801,0.39204
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,6,1,1,50, ARITHMETIC,-5,5,-0.206975323309,-0.495954909245,-5,5,-0.206975323309,-0.495954909245,0.44106
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,7,1,1,50, ARITHMETIC,-5,5,-0.0397302120622,0.0861533823827,-5,5,-0.0397302120622,0.0861533823827,0.23581
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,8,1,1,50, ARITHMETIC,-5,5,-0.192658960003,-0.209832725269,-5,5,-0.192658960003,-0.209832725269,0.27457
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,9,1,1,50, ARITHMETIC,-5,5,1.04382119326,1.0513451681,-5,5,1.04382119326,1.0513451681,0.11583
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,10,1,1,50, ARITHMETIC,-5,5,0.740064994675,0.793169136287,-5,5,0.740064994675,0.793169136287,0.16486
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,11,1,1,50, ARITHMETIC,-5,5,0.881711895029,0.893610575588,-5,5,0.881711895029,0.893610575588,0.16669
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,12,1,1,50, ARITHMETIC,-5,5,0.918111269357,0.980275284366,-5,5,0.918111269357,0.980275284366,0.1495
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,13,1,1,50, ARITHMETIC,-5,5,0.750442537657,0.760002280888,-5,5,0.750442537657,0.760002280888,0.16439
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,14,1,1,50, ARITHMETIC,-5,5,0.331240549155,0.326842159416,-5,5,0.331240549155,0.326842159416,0.19949
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,15,1,1,50, ARITHMETIC,-5,5,-0.40616482276,-0.326321249285,-5,5,-0.40616482276,-0.326321249285,0.22245
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,16,1,1,50, ARITHMETIC,-5,5,-1.11798287322,-1.34334380562,-5,5,-1.11798287322,-1.34334380562,0.37303
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,17,1,1,50, ARITHMETIC,-5,5,-1.40239365401,-1.31960370089,-5,5,-1.40239365401,-1.31960370089,0.28235
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,18,1,1,50, ARITHMETIC,-5,5,-1.31688298915,-1.35122657929,-5,5,-1.31688298915,-1.35122657929,0.25311
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,19,1,1,50, ARITHMETIC,-5,5,-1.31681401615,-1.31941249664,-5,5,-1.31681401615,-1.31941249664,0.25189
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,20,1,1,50, ARITHMETIC,-5,5,-1.14609509781,-1.16225053836,-5,5,-1.14609509781,-1.16225053836,0.24408
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,21,1,1,50, ARITHMETIC,-5,5,-0.649663454793,-0.603095318848,-5,5,-0.649663454793,-0.603095318848,0.17116
